TOWN_NAME,年份基準,pop_15歲以下,年份基準_民國年
松山區,2017,30849,106
信義區,2017,27984,106
大安區,2017,46978,106
中山區,2017,28948,106
中正區,2017,25854,106
大同區,2017,17411,106
萬華區,2017,21765,106
文山區,2017,38554,106
南港區,2017,16458,106
內湖區,2017,42141,106
士林區,2017,37468,106
北投區,2017,35462,106
松山區,2018,30327,107
信義區,2018,27065,107
大安區,2018,46675,107
中山區,2018,28488,107
中正區,2018,25802,107
大同區,2018,16800,107
萬華區,2018,20950,107
文山區,2018,37830,107
南港區,2018,16228,107
內湖區,2018,41804,107
士林區,2018,36808,107
北投區,2018,34880,107
松山區,2019,29996,108
信義區,2019,26052,108
大安區,2019,46669,108
中山區,2019,27750,108
中正區,2019,25634,108
大同區,2019,16314,108
萬華區,2019,19922,108
文山區,2019,36851,108
南港區,2019,15631,108
內湖區,2019,41194,108
士林區,2019,35590,108
北投區,2019,33897,108
松山區,2020,29199,109
信義區,2020,24823,109
大安區,2020,45971,109
中山區,2020,26877,109
中正區,2020,25252,109
大同區,2020,15840,109
萬華區,2020,18636,109
文山區,2020,35530,109
南港區,2020,14942,109
內湖區,2020,40186,109
士林區,2020,34132,109
北投區,2020,33137,109
松山區,2021,27972,110
信義區,2021,23083,110
大安區,2021,43824,110
中山區,2021,25037,110
中正區,2021,24354,110
大同區,2021,15023,110
萬華區,2021,16853,110
文山區,2021,33805,110
南港區,2021,14086,110
內湖區,2021,38607,110
士林區,2021,32112,110
北投區,2021,31684,110
中山區,2022,23975,111
中正區,2022,23465,111
信義區,2022,21779,111
內湖區,2022,37387,111
北投區,2022,30369,111
南港區,2022,13442,111
士林區,2022,30688,111
大同區,2022,14259,111
大安區,2022,42101,111
文山區,2022,32123,111
松山區,2022,27014,111
萬華區,2022,15213,111
中山區,2023,22779,112
中正區,2023,22283,112
信義區,2023,20755,112
內湖區,2023,36061,112
北投區,2023,29084,112
南港區,2023,12953,112
士林區,2023,29312,112
大同區,2023,13682,112
大安區,2023,39507,112
文山區,2023,30550,112
松山區,2023,25387,112
萬華區,2023,14453,112
中山區,2024,21650,113
中正區,2024,20989,113
信義區,2024,19871,113
內湖區,2024,34618,113
北投區,2024,27706,113
南港區,2024,12505,113
士林區,2024,27923,113
大同區,2024,13051,113
大安區,2024,36745,113
文山區,2024,28940,113
松山區,2024,23790,113
萬華區,2024,13834,113
中山區,2025,20785,114
中正區,2025,19679,114
信義區,2025,19007,114
內湖區,2025,33488,114
北投區,2025,26569,114
南港區,2025,12201,114
士林區,2025,26649,114
大同區,2025,12565,114
大安區,2025,34057,114
文山區,2025,27643,114
松山區,2025,22113,114
萬華區,2025,13528,114
中山區,2026,19628,115
中正區,2026,17859,115
信義區,2026,18149,115
內湖區,2026,31917,115
北投區,2026,25034,115
南港區,2026,11762,115
士林區,2026,25244,115
大同區,2026,11961,115
大安區,2026,30982,115
文山區,2026,25868,115
松山區,2026,20048,115
萬華區,2026,13088,115
中山區,2027,18458,116
中正區,2027,16123,116
信義區,2027,17030,116
內湖區,2027,30034,116
北投區,2027,23273,116
南港區,2027,11156,116
士林區,2027,23513,116
大同區,2027,11135,116
大安區,2027,27659,116
文山區,2027,23873,116
松山區,2027,17822,116
萬華區,2027,12341,116
中山區,2028,17352,117
中正區,2028,14712,117
信義區,2028,16007,117
內湖區,2028,28419,117
北投區,2028,21826,117
南港區,2028,10598,117
士林區,2028,22327,117
大同區,2028,10593,117
大安區,2028,24922,117
文山區,2028,22465,117
松山區,2028,16138,117
萬華區,2028,11749,117
中山區,2029,16166,118
中正區,2029,13268,118
信義區,2029,14882,118
內湖區,2029,26633,118
北投區,2029,20201,118
南港區,2029,9961,118
士林區,2029,20957,118
大同區,2029,9986,118
大安區,2029,22139,118
文山區,2029,20851,118
松山區,2029,14467,118
萬華區,2029,11055,118
中山區,2030,14939,119
中正區,2030,11895,119
信義區,2030,13837,119
內湖區,2030,24902,119
北投區,2030,18833,119
南港區,2030,9334,119
士林區,2030,19428,119
大同區,2030,9391,119
大安區,2030,19415,119
文山區,2030,19253,119
松山區,2030,13054,119
萬華區,2030,10334,119
中山區,2031,13680,120
中正區,2031,10660,120
信義區,2031,12704,120
內湖區,2031,23115,120
北投區,2031,17522,120
南港區,2031,8675,120
士林區,2031,17927,120
大同區,2031,8733,120
大安區,2031,17100,120
文山區,2031,17729,120
松山區,2031,11635,120
萬華區,2031,9544,120
中山區,2032,12531,121
中正區,2032,9491,121
信義區,2032,11741,121
內湖區,2032,21606,121
北投區,2032,16157,121
南港區,2032,8083,121
士林區,2032,16550,121
大同區,2032,8035,121
大安區,2032,14989,121
文山區,2032,16204,121
松山區,2032,10419,121
萬華區,2032,8863,121
中山區,2033,11542,122
中正區,2033,8500,122
信義區,2033,10741,122
內湖區,2033,20206,122
北投區,2033,15062,122
南港區,2033,7472,122
士林區,2033,15209,122
大同區,2033,7428,122
大安區,2033,13281,122
文山區,2033,15004,122
松山區,2033,9341,122
萬華區,2033,8187,122
中山區,2034,10588,123
中正區,2034,7802,123
信義區,2034,9853,123
內湖區,2034,18919,123
北投區,2034,14092,123
南港區,2034,6849,123
士林區,2034,14108,123
大同區,2034,6807,123
大安區,2034,11841,123
文山區,2034,13985,123
松山區,2034,8510,123
萬華區,2034,7496,123
中山區,2035,9774,124
中正區,2035,7280,124
信義區,2035,9046,124
內湖區,2035,17826,124
北投區,2035,13244,124
南港區,2035,6372,124
士林區,2035,13202,124
大同區,2035,6346,124
大安區,2035,10651,124
文山區,2035,13157,124
松山區,2035,7763,124
萬華區,2035,6908,124
中山區,2036,9031,125
中正區,2036,6723,125
信義區,2036,8344,125
內湖區,2036,16852,125
北投區,2036,12530,125
南港區,2036,6006,125
士林區,2036,12395,125
大同區,2036,5923,125
大安區,2036,9725,125
文山區,2036,12439,125
松山區,2036,7175,125
萬華區,2036,6422,125
中山區,2037,8533,126
中正區,2037,6541,126
信義區,2037,7927,126
內湖區,2037,16362,126
北投區,2037,12171,126
南港區,2037,5774,126
士林區,2037,11954,126
大同區,2037,5727,126
大安區,2037,9141,126
文山區,2037,12087,126
松山區,2037,6869,126
萬華區,2037,6008,126
中山區,2038,7916,127
中正區,2038,6271,127
信義區,2038,7339,127
內湖區,2038,15611,127
北投區,2038,11617,127
南港區,2038,5474,127
士林區,2038,11201,127
大同區,2038,5427,127
大安區,2038,8481,127
文山區,2038,11465,127
松山區,2038,6462,127
萬華區,2038,5615,127
中山區,2039,7354,128
中正區,2039,6004,128
信義區,2039,6813,128
內湖區,2039,14877,128
北投區,2039,11025,128
南港區,2039,5108,128
士林區,2039,10510,128
大同區,2039,5159,128
大安區,2039,7989,128
文山區,2039,10891,128
松山區,2039,6087,128
萬華區,2039,5158,128
中山區,2040,6816,129
中正區,2040,5747,129
信義區,2040,6294,129
內湖區,2040,14204,129
北投區,2040,10361,129
南港區,2040,4817,129
士林區,2040,9843,129
大同區,2040,4824,129
大安區,2040,7506,129
文山區,2040,10342,129
松山區,2040,5708,129
萬華區,2040,4700,129
中山區,2041,6250,130
中正區,2041,5452,130
信義區,2041,5790,130
內湖區,2041,13502,130
北投區,2041,9719,130
南港區,2041,4482,130
士林區,2041,9204,130
大同區,2041,4559,130
大安區,2041,6935,130
文山區,2041,9787,130
松山區,2041,5325,130
萬華區,2041,4203,130
